timestamp,MAG_X,MAG_Y,MAG_Z,Total_MAG,anomaly,segment
2022-06-01T23:42:54.000Z,-2.1487e-05,-2.03918e-05,-1.4738e-05,3.3086633558583744e-05,1,1
2022-06-01T23:42:55.000Z,-2.05077e-05,-2.03918e-05,-1.378e-05,3.203559998704566e-05,1,1
2022-06-01T23:42:56.000Z,-2.10633e-05,-2.03918e-05,-1.36718e-05,3.2348202876976025e-05,1,1
2022-06-01T23:42:57.000Z,-2.14833e-05,-2.03918e-05,-1.40888e-05,3.2800182492937446e-05,1,1
2022-06-01T23:42:58.000Z,-2.14833e-05,-2.03918e-05,-1.40888e-05,3.2800182492937446e-05,1,1
2022-06-01T23:42:59.000Z,-2.13358e-05,-2.03918e-05,-1.29949e-05,3.2247624639498645e-05,1,1
2022-06-01T23:43:00.000Z,-2.07797e-05,-2.03918e-05,-1.28625e-05,3.182868746241353e-05,1,1
2022-06-01T23:43:01.000Z,-2.07745e-05,-2.03918e-05,-1.21832e-05,3.1556864859012843e-05,1,1
2022-06-01T23:43:02.000Z,-2.11939e-05,-2.03918e-05,-1.24724e-05,3.194632476842994e-05,1,1
2022-06-01T23:43:03.000Z,-2.07759e-05,-2.03918e-05,-1.23261e-05,3.161322933931299e-05,1,1
2022-06-01T23:43:04.000Z,-2.07759e-05,-2.03918e-05,-1.23261e-05,3.161322933931299e-05,1,1
2022-06-01T23:43:05.000Z,-2.06326e-05,-2.03918e-05,-1.16608e-05,3.126505951761487e-05,1,1
2022-06-01T23:43:06.000Z,-2.10478e-05,-2.03918e-05,-1.15214e-05,3.148933232127985e-05,1,1
2022-06-01T23:43:07.000Z,-2.13286e-05,-2.03918e-05,-1.15838e-05,3.170045910771641e-05,1,1
2022-06-01T23:43:08.000Z,-2.13286e-05,-2.03918e-05,-1.15838e-05,3.170045910771641e-05,1,1
2022-06-01T23:43:09.000Z,-2.13218e-05,-2.03918e-05,-1.08745e-05,3.144359096429668e-05,1,1
2022-06-01T23:43:10.000Z,-2.11828e-05,-2.03918e-05,-1.07556e-05,3.130845659626166e-05,1,1
2022-06-01T23:43:11.000Z,-2.07587e-05,-2.03918e-05,-9.7972e-06,3.070397793071771e-05,1,1
2022-06-01T23:43:12.000Z,-2.09002e-05,-2.03918e-05,-1.00791e-05,3.089064784186308e-05,1,1
2022-06-01T23:43:13.000Z,-2.09002e-05,-2.03918e-05,-1.00791e-05,3.089064784186308e-05,1,1
2022-06-01T23:43:14.000Z,-2.03404e-05,-2.03918e-05,-9.52808e-06,3.033713381132766e-05,1,1
2022-06-01T23:43:15.000Z,-1.97867e-05,-2.03918e-05,-9.67134e-06,3.00145601587896e-05,1,1
2022-06-01T23:43:16.000Z,6.3231e-05,-2.03918e-05,-4.23822e-05,7.880504898215597e-05,1,1
2022-06-01T23:43:17.000Z,6.3231e-05,-2.03918e-05,-4.23822e-05,7.880504898215597e-05,1,1
2022-06-01T23:43:18.000Z,-4.80157e-06,-2.03918e-05,2.17805e-05,3.022036998375268e-05,1,1
2022-06-01T23:43:19.000Z,-4.80157e-06,-2.03918e-05,2.17805e-05,3.022036998375268e-05,1,1
2022-06-01T23:43:20.000Z,6.44014e-05,-2.03918e-05,-4.15348e-05,7.930009735328197e-05,1,1
2022-06-01T23:43:21.000Z,-1.76886e-05,-2.03918e-05,-7.50865e-06,2.801949146616512e-05,1,1
2022-06-01T23:43:22.000Z,-1.76886e-05,-2.03918e-05,-7.50865e-06,2.801949146616512e-05,1,1
2022-06-01T23:43:23.000Z,-1.76886e-05,-2.03918e-05,-7.50865e-06,2.801949146616512e-05,1,1
2022-06-01T23:43:24.000Z,-1.79601e-05,-2.03918e-05,-6.5811e-06,2.7958926597063776e-05,1,1
2022-06-01T23:43:25.000Z,-1.65682e-05,-2.03918e-05,-6.27386e-06,2.7012813214835652e-05,1,1
2022-06-01T23:43:26.000Z,-1.67023e-05,-2.03918e-05,-5.60581e-06,2.694842181438646e-05,1,1
2022-06-01T23:43:27.000Z,-1.50371e-05,-2.03918e-05,-5.61205e-06,2.5950625981900708e-05,1,1
2022-06-01T23:43:28.000Z,-1.50371e-05,-2.03918e-05,-5.61205e-06,2.5950625981900708e-05,1,1
2022-06-01T23:43:29.000Z,-1.58691e-05,-2.03918e-05,-5.4811e-06,2.641394138064216e-05,1,1
2022-06-01T23:43:30.000Z,-1.51678e-05,-2.03918e-05,-4.53046e-06,2.5814971080588104e-05,1,1
